objectId,createdAt,updatedAt,ACL,team_id,fall_year,player_ids
ljzdZE6TcG,Tue Dec 15 2015 20:12:40 GMT-0600 (Central Standard Time),Tue Dec 15 2015 20:14:28 GMT-0600 (Central Standard Time),null,vDzQtXa7zd,2015,"[""NNIgEviofN"",""QF7k4ZxrNY"",""HiZ3FaeC5U"",""dMCVHZobPw"",""I76KAGdDhi"",""fXz2qeVzzL"",""f5zNy2qDyY"",""6bY4InEDBz"",""9duPKvfocc"",""Gckn99xUyB"",""F2PlBYAu8o"",""s3NbCGQfAL"",""RKJ1LaoXwt"",""5fUpENut0X"",""jDkwCcjm97"",""zKdgyaNXR3"",""W24AWojUI9"",""CwpT9epLgh"",""3eEBsjIqPx"",""LGTsbePMK7"",""917jFZ5oi8"",""14Fs3oLW3k"",""SWXJBgULk9"",""g41NODsuZ9"",""PvN4cMv9Wh"",""ilMpGNL2NH"",""sXsQojMcQf""]"
mQw1KvGxxO,Sat May 02 2020 13:08:19 GMT-0500 (Central Daylight Time),Sat May 09 2020 23:10:21 GMT-0500 (Central Daylight Time),null,9pknZhSrVp,2018,"[""DFWwqYzMgM"",""3nos6nIoks"",""srV4eiUPnT"",""RLKgXB6VTU"",""cnFzgxE3sV"",""3uzJNkmyCK"",""N2nkCyT2ec"",""zCSbsWs8yE"",""AleeSVhsre"",""DHCppCm3zW"",""ioaZYKUwLQ"",""h17hmYQGiz"",""xVV9EIanBl"",""8G4T1Aoir7"",""Mj8jymrhB4"",""9daFJ0aZbl"",""QIFbXXQS8t"",""ljkUbGB1Tp"",""edmySsHyjj"",""Ri1vbJ6tTJ"",""dHmqv2Hqu4"",""wDizp9KKka"",""3sKVmrowoZ"",""TFPt39RMfN"",""d5bIGEmLA8"",""xlUCfBpymX"",""w9nOcV4GhJ"",""LhPg9yD9sh"",""1ipSE3SoB4"",""jNlB9oft4Q""]"
mvufQ5X96l,Fri Dec 04 2015 03:15:10 GMT-0600 (Central Standard Time),Fri Dec 04 2015 03:15:10 GMT-0600 (Central Standard Time),null,mhnUAAk8wm,2015,"[""2r9lE0JTD9"",""2w88ApPvoN"",""t9xkpjzvNV"",""sDfbmA4Ttc"",""nqYyqafJKp"",""7vFMHlep5R"",""vSRL4EpryJ"",""DV2Dc0vpil"",""Q6j8ylrQqA"",""jX2A3dwye7"",""Jx4iK5wXqR"",""C1UvChllxf"",""ocFwmFamq5"",""fcTtIDN9FC"",""dicymqlngg"",""5tUuCBXwmd"",""TplXj85nec"",""wBNlg0lrRT"",""LbXU1XRLPj"",""H7Cut8lEc8""]"
n0mliyvrZF,Wed Dec 30 2015 15:24:26 GMT-0600 (Central Standard Time),Fri Jan 01 2016 13:20:51 GMT-0600 (Central Standard Time),null,fOslL2YWS4,2015,"[""oyxwTIIXQd"",""QK7VvpQ7Ye"",""8A2mysJ41Q"",""A5r2zqeLLI"",""uIQbM1Xo6O"",""LbOTBtVDoC"",""4ecsJccKdH"",""wEl5uLFDca"",""AZyQwU46XD"",""ObNSSxANSy"",""doKS9xxasl"",""NcJGiQUCSN"",""yKiUR4yvEq""]"
n1KlomcMeL,Thu Apr 27 2017 19:38:48 GMT-0500 (Central Daylight Time),Wed Jul 19 2017 19:40:36 GMT-0500 (Central Daylight Time),null,pFe1cFCeHX,2016,"[""gtVOlncQQC"",""0kBR9KgDGS"",""rNftxUngJs"",""90dAl4qsWY"",""WxjGC1F5w3"",""trIGl5DVFO"",""Mdx3iwNhN6"",""NL7recSlBT"",""aN5MeFmEvv"",""W7vafG77MW"",""JxcAekhk9T"",""v34SZAlh8O"",""hOWNm6HyjL"",""27M9vbdzYO"",""qRwW208UJw"",""DJM2eQTxk4"",""Or3LsE3utV"",""Q9dSvngdsQ"",""lnNVPhfE9P"",""HPCHD4D36J"",""D2q0Z2xQgb"",""JF3jET8F7M"",""21qrrjSuuO"",""05lzyaXFSv"",""JOfceEIbBi"",""SKIudPh2NP"",""DDIhpXqEa7"",""PudHIgqgWl"",""W4hKFIIIGz""]"
nR3BMJIua8,Mon Nov 30 2015 16:49:04 GMT-0600 (Central Standard Time),Thu Nov 23 2017 00:52:52 GMT-0600 (Central Standard Time),null,72aC65hDVy,2017,"[""AFeaZeMTqP"",""xEvey7LHCs"",""0kBR9KgDGS"",""sTfp1xVTJ6"",""EWaH6EpO6e"",""mli5chzk4x"",""BEYDVRhJeB"",""AgJAMYYdpK"",""EMWeMkVBVK"",""ZyEpTzSOQD"",""goSgpc30T5"",""YdQSbEvRfY"",""mrNtl0DtIC"",""VPjtzA2rCb"",""p21ZyfS16B"",""BP4Pq5sWgd"",""HCUHlfP7mQ"",""RY9uvxgIjJ"",""hdW2UolblP"",""LXtwA1U1HF"",""7KjYaMBEnr"",""WZWslTb1Ss"",""yJNLpStfbI"",""04r1R9pfGT"",""Pnr4BHAnvi"",""wpu4ksFD6S"",""CWl5bsSkzf"",""m3sRG3tBFi"",""vrK5cnstnG"",""NPwL8Dh2y4"",""EnJLWiMjLJ"",""0VOQW5HECu"",""q9N175q8VS"",""KAvbEEnLar"",""WAnRQurUlq"",""IzRiCkJapn"",""Ri17zAc4mq"",""w6z4qw5geu"",""RkbYS79bYA"",""rqUtJxrM7K"",""G3nNSLEziD"",""GBOHwub6oF"",""rSajAJDeuJ"",""ayUib5fZuR"",""QYN5vuPsmt"",""qfOVFUW4gU"",""eSE8HPACe4"",""TCvR2vp6ja"",""KyYNOHhaX9"",""fGtZ7fTsGC"",""vPhV9jXeuV"",""TS8SnBqVFz"",""1kkji8gF15"",""ct7n8OibzN"",""zZn43rvZlb"",""cvxz3CUNvs"",""kfvNmbHjTI"",""9wsDJZt1LF"",""3Pvo7UrTK7"",""XrNGC0pERc""]"
oCgnQiiGol,Sun Feb 07 2016 14:09:19 GMT-0600 (Central Standard Time),Sun Feb 07 2016 14:09:19 GMT-0600 (Central Standard Time),null,TrU7dwBcP0,2015,"[""cWKorMQMSE"",""6wGYZGKtgM"",""MqPTpfWOX3"",""ZOVtLKd6wL"",""l7qrDDzKZN"",""mrDNadRX7B"",""0GB7IPg4zT"",""Y5x11UCBub"",""B0S9lw0ArQ"",""WBxBV8iYax"",""v609tUEu57"",""4zcw79OSYI"",""kxNtvQBd9C"",""MmDyqpu553"",""10KthNxoic"",""Pe2rJiAKQO"",""FvWOSHYX5u"",""R2JiAyzHex""]"
oiU5pSpcdI,Sun Feb 28 2016 12:45:22 GMT-0600 (Central Standard Time),Sun Feb 28 2016 12:45:22 GMT-0600 (Central Standard Time),null,CNmYv3w3iX,2015,"[""U1qGwvLiGF"",""SIzdcMaPVu"",""6ejyw0QB9A"",""1guvCnyOo4"",""w9nOcV4GhJ"",""wDizp9KKka"",""fie9dEufG5"",""pB3C4ecGkj"",""vf2g5GyUAM"",""cyaXgQxYfB"",""DHCppCm3zW"",""YidxdfMjXb"",""MwJmip2TqV"",""DixBF5AhZr"",""gECFJIS0w0"",""lja70oE9Hd"",""A4HSc2L1iZ"",""s0vwgTl2jx"",""9a1lv4F2gg"",""wHXXofvoSI"",""vK8du0pwDr"",""u4IPf2RMig""]"
q3jFQ9cUBp,Mon Feb 18 2019 20:44:37 GMT-0600 (Central Standard Time),Mon Feb 18 2019 20:44:37 GMT-0600 (Central Standard Time),null,Y0cHofeNs5,2012,
rkXSr1MCeU,Tue Nov 08 2016 12:51:52 GMT-0600 (Central Standard Time),Tue Nov 08 2016 12:51:52 GMT-0600 (Central Standard Time),null,XAty8SwwgQ,2016,
sGKEa6E6Rr,Tue Nov 08 2016 12:52:21 GMT-0600 (Central Standard Time),Tue Nov 08 2016 12:52:21 GMT-0600 (Central Standard Time),null,RYYs0N15Cd,2016,
sWUnB3Uo6F,Mon Dec 21 2015 22:47:19 GMT-0600 (Central Standard Time),Tue Dec 22 2015 22:12:49 GMT-0600 (Central Standard Time),null,OpAp5q8omY,2015,"[""49Sf4iRiHw"",""xuOdipqavd"",""2I65PJ2UkN"",""EDa9Mkic30"",""xlUCfBpymX"",""kVgXwGPS1I"",""VlltjYDkLQ"",""GSETlO5nPE"",""2EBJCCjYvr"",""x41TvKGl8q"",""4XwHB2nD25"",""sf5YrnBONq"",""Wjoll7ldmS"",""dvpP73SroT"",""CN3vveLMBh"",""CUY5DnEPS1"",""pIiaQ04Wye"",""pyWjoO5Ygw"",""RLKgXB6VTU"",""ToxwwZq2Gb"",""b8sfgFcehS""]"
tZfKX3YiXB,Tue May 05 2020 21:54:12 GMT-0500 (Central Daylight Time),Tue May 05 2020 21:54:14 GMT-0500 (Central Daylight Time),null,0eHM4yAUtR,2012,"[""0VOQW5HECu""]"
tk5NBvXm4s,Wed Jan 31 2018 12:22:18 GMT-0600 (Central Standard Time),Wed Jan 31 2018 12:22:18 GMT-0600 (Central Standard Time),null,0eHM4yAUtR,2017,
ttp7tjcCF7,Mon Dec 21 2015 16:06:12 GMT-0600 (Central Standard Time),Mon Dec 21 2015 16:08:12 GMT-0600 (Central Standard Time),null,Bmlv3mbbOu,2015,"[""KDvKmXez7t"",""h8Jr8xhx7T"",""pbTGgMlYmM"",""TuYhqFFZsb"",""lYGunCSSpp"",""KLI41SYqIw"",""RSkGPEFTzt"",""qc6ai8jscJ"",""jcO5d1boYl"",""Rb19zmagz9"",""44FLRvEEyQ"",""GA2kMshz0W"",""6C5R1VNM6H"",""Gg1gI51g94"",""vYOuy746w5""]"
