objectId,fall_year,vid_id,ACL,bludger_count,time,updatedAt,author_id,stat_name,player_in_id,player_id,createdAt,team_id
TQuNNGrZuu,2015,5j6-RD2EXXM,null,2,711,Mon Oct 17 2016 11:37:11 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,OFFENSIVE_DRIVE,,,Mon Oct 17 2016 11:37:11 GMT-0500 (Central Daylight Time),null
TQwA5U4XQq,2015,zUiyoPOxYaE,null,2,77,Thu Jun 23 2016 00:09:49 GMT-0500 (Central Daylight Time),X3X3bWXs8E,OFFENSE,,,Thu Jun 23 2016 00:09:49 GMT-0500 (Central Daylight Time),mhnUAAk8wm
TQyzRvFvbh,2015,ApsmJUJ17LU,null,2,567,Sun Oct 09 2016 01:46:06 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,DEFENSE,,,Sun Oct 09 2016 01:46:06 GMT-0500 (Central Daylight Time),72aC65hDVy
TR7X1iqmPc,2015,M-5MUrECXko,null,,489,Mon Nov 09 2015 13:18:25 GMT-0600 (Central Standard Time),nwlMkrbCJ9,TURNOVER,null,kJzWiJlp3v,Mon Nov 09 2015 13:18:25 GMT-0600 (Central Standard Time),72aC65hDVy
TRDENFUyPl,2016,lQj2R6b8o28,null,,257,Mon Feb 13 2017 17:00:44 GMT-0600 (Central Standard Time),nwlMkrbCJ9,START_CLOCK,,,Mon Feb 13 2017 17:00:44 GMT-0600 (Central Standard Time),VVf2rVa4A4
TRZFf7TAr0,2015,u0s04_DxU40,null,1,272,Sun Feb 21 2016 22:28:56 GMT-0600 (Central Standard Time),nwlMkrbCJ9,DEFENSIVE_DRIVE,,,Sun Feb 21 2016 22:28:56 GMT-0600 (Central Standard Time),72aC65hDVy
TRcJYpJnhh,2016,HB9qDj7m14A,null,,971,Sun Nov 13 2016 00:49:36 GMT-0600 (Central Standard Time),nwlMkrbCJ9,TAKEAWAY,,LOm1LOSK9B,Sun Nov 13 2016 00:49:36 GMT-0600 (Central Standard Time),72aC65hDVy
TRlTtAXVDI,2016,eBc3SiV8cDI,null,,1385,Mon Mar 27 2017 13:27:30 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,GOAL,,AgJAMYYdpK,Mon Mar 27 2017 13:27:30 GMT-0500 (Central Daylight Time),72aC65hDVy
TRrMA2qs8E,2015,MIs-9904vQU,null,0,743,Wed May 11 2016 10:36:40 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,OFFENSIVE_DRIVE,,,Wed May 11 2016 10:36:40 GMT-0500 (Central Daylight Time),72aC65hDVy
TRthACd59p,2016,HevU7L7Af8U,null,,506,Tue Nov 22 2016 16:37:06 GMT-0600 (Central Standard Time),nwlMkrbCJ9,SUB,titeRGhaoB,kfvNmbHjTI,Tue Nov 22 2016 16:37:06 GMT-0600 (Central Standard Time),72aC65hDVy
TRu8qfUu1W,2016,oDmBfDtnkBQ,null,,244,Wed Jul 19 2017 20:27:18 GMT-0500 (Central Daylight Time),OMXrnEWOS7,ASSIST,,0kBR9KgDGS,Wed Jul 19 2017 20:27:18 GMT-0500 (Central Daylight Time),pFe1cFCeHX
TRwGiJIDil,2017,MHeTu5wUkFA,null,,29,Thu Nov 23 2017 00:42:04 GMT-0600 (Central Standard Time),nwlMkrbCJ9,LOSE_CONTROL,,,Thu Nov 23 2017 00:42:04 GMT-0600 (Central Standard Time),VVf2rVa4A4
TRzkUL9KNE,2016,jmvhGaLtGGs,null,,47,Mon Nov 14 2016 19:35:53 GMT-0600 (Central Standard Time),nwlMkrbCJ9,SUB,LOm1LOSK9B,IzRiCkJapn,Mon Nov 14 2016 19:35:53 GMT-0600 (Central Standard Time),72aC65hDVy
