objectId,createdAt,updatedAt,ACL,team_name
sDwvaTBIyS,Sun Apr 10 2016 10:03:57 GMT-0500 (Central Daylight Time),Sun Apr 10 2016 10:03:57 GMT-0500 (Central Daylight Time),null,Penn State
ue6R6GtpLi,Thu Mar 15 2018 15:37:35 GMT-0500 (Central Daylight Time),Thu Mar 15 2018 15:37:35 GMT-0500 (Central Daylight Time),null,Middlebury Quidditch
vDzQtXa7zd,Tue Dec 15 2015 20:12:40 GMT-0600 (Central Standard Time),Tue Dec 15 2015 20:12:40 GMT-0600 (Central Standard Time),null,Rochester Whiteout
wCsrfKSsCM,Thu Mar 15 2018 15:37:55 GMT-0500 (Central Daylight Time),Thu Mar 15 2018 15:37:55 GMT-0500 (Central Daylight Time),null,RPI Quidditch
weNkSqNAPd,Sun Mar 04 2018 20:21:16 GMT-0600 (Central Standard Time),Sun Mar 04 2018 20:21:16 GMT-0600 (Central Standard Time),null,Miami University
wl56jgemqS,Wed Dec 09 2015 16:53:40 GMT-0600 (Central Standard Time),Wed Dec 09 2015 16:53:40 GMT-0600 (Central Standard Time),null,Detroit Innovators
x08kJZJT9E,Fri Dec 04 2015 03:08:50 GMT-0600 (Central Standard Time),Fri Dec 04 2015 03:08:50 GMT-0600 (Central Standard Time),null,Team Belgium
xs2G82eckS,Thu Mar 08 2018 18:22:03 GMT-0600 (Central Standard Time),Thu Mar 08 2018 18:22:03 GMT-0600 (Central Standard Time),null,LA Guardians
zQMAAAh5aT,Mon Mar 27 2017 11:37:03 GMT-0500 (Central Daylight Time),Mon Mar 27 2017 11:37:03 GMT-0500 (Central Daylight Time),null,Ohio University
ztGBBQuCSH,Wed Dec 20 2017 20:54:36 GMT-0600 (Central Standard Time),Wed Dec 20 2017 20:54:36 GMT-0600 (Central Standard Time),null,LA Gambits
