objectId,fall_year,vid_id,ACL,updatedAt,createdAt,description,team_id,opponent_id
hmaytukras,2017,BvLn4CcemZ0,null,Wed Dec 06 2017 10:32:52 GMT-0600 (Central Standard Time),Wed Dec 06 2017 10:32:52 GMT-0600 (Central Standard Time),undefined,72aC65hDVy,J4jYCZM9jX
hsgwh7EFfP,2015,rmUk-HPcOfE,null,Thu Oct 15 2015 19:41:19 GMT-0500 (Central Daylight Time),Thu Oct 15 2015 19:39:52 GMT-0500 (Central Daylight Time),Ball Brothers Appalachain State,72aC65hDVy,
i1NZpF0O6D,2021,zrqj5WcOGoM,null,Thu Sep 02 2021 11:59:04 GMT-0500 (Central Daylight Time),Thu Sep 02 2021 11:59:04 GMT-0500 (Central Daylight Time),AUS NYC 2021 G1,9pknZhSrVp,OpAp5q8omY
i1gL71ciAi,2016,gzvF4jvdWUU,null,Thu Nov 17 2016 10:54:08 GMT-0600 (Central Standard Time),Thu Nov 17 2016 10:54:08 GMT-0600 (Central Standard Time),GLRC 2016 Carnegie Mellon,72aC65hDVy,q4t17aUQvP
iqQZZoIN2l,2016,nKR-z44gY5E,null,Wed Oct 12 2016 12:58:01 GMT-0500 (Central Daylight Time),Wed Oct 12 2016 12:58:01 GMT-0500 (Central Daylight Time),Ball Brothers 3 Marquette,72aC65hDVy,ejsL26LzRP
j78Y9IIGbl,2015,Jid98gqCRw8,null,Mon Apr 04 2016 11:19:23 GMT-0500 (Central Daylight Time),Mon Apr 04 2016 11:19:23 GMT-0500 (Central Daylight Time),Spring Breakout Mizzou,MOyqzF628Q,
jDnVAEeI2L,2017,bG_Wy8BbsqE,null,Wed Sep 20 2017 17:50:59 GMT-0500 (Central Daylight Time),Wed Sep 20 2017 17:50:01 GMT-0500 (Central Daylight Time),SSR CMU Finals,ZONaVCJXMP,SobMXhbxsA
jQxhjX4K0f,2015,YkmICmG4Saw,null,Mon Apr 04 2016 22:17:06 GMT-0500 (Central Daylight Time),Mon Apr 04 2016 22:17:06 GMT-0500 (Central Daylight Time),Alamo Cup Texas A&M,MOyqzF628Q,
jqTGUAgpbS,2015,dmyDOBn2L4w,null,Thu Dec 10 2015 16:24:29 GMT-0600 (Central Standard Time),Thu Dec 10 2015 16:24:29 GMT-0600 (Central Standard Time),Rochester Game 3,wl56jgemqS,
kfROQas988,2015,SS4HEYF172k,null,Fri Jul 08 2016 17:14:43 GMT-0500 (Central Daylight Time),Fri Jul 08 2016 17:14:28 GMT-0500 (Central Daylight Time),Euro Games France,bE8h4EPjOa,1Tq5ZLgKzB
kngGAnpWS9,2015,J4Gwtx3Ts4w,null,Mon Feb 29 2016 11:31:58 GMT-0600 (Central Standard Time),Mon Feb 29 2016 11:31:58 GMT-0600 (Central Standard Time),Founder's UVA,72aC65hDVy,
